STATE,COUNTY,TRACT,year,id,name,parent_location,type,filings,filing_rate,threatened,threatened_rate,judgements,judgement_rate,fips,cofips,B25119_003E,B03002_001E,B03002_012E,B03002_003E,B03002_004E,B03002_005E,B03002_006E,B03002_007E,B03002_008E,B03002_010E,B03002_011E,B25003_003E,B25003A_003E,B25003B_003E,B25003C_003E,B25003D_003E,B25003E_003E,B25003F_003E,B25003G_003E,B25003H_003E,B25003I_003E,B25119_003E_2018,frac_B03002_012E,frac_B03002_003E,frac_B03002_004E,frac_B03002_005E,frac_B03002_006E,frac_B03002_007E,frac_B03002_008E,frac_B03002_010E,frac_B03002_011E,frac_B25003A_003E,frac_B25003B_003E,frac_B25003C_003E,frac_B25003D_003E,frac_B25003E_003E,frac_B25003F_003E,frac_B25003G_003E,frac_B25003H_003E,frac_B25003I_003E
34,017,000400,2010,34017000400,Census Tract 4,"Hudson County, New Jersey",observed,103.0,12.0,73.0,8.51,20.0,2.33,34017000400,34017,55417.0,4366,1539,882,477,75,1326,0,34,9,24,783,364,103,12,230,0,74,0,246,192,63961.31885659,0.3524965643609711,0.2020155748969308,0.1092533211177279,0.0171781951442968,0.3037104901511681,0.0,0.0077874484654145,0.0020613834173156,0.0054970224461749,0.4648786717752235,0.1315453384418901,0.0153256704980842,0.2937420178799489,0.0,0.0945083014048531,0.0,0.3141762452107279,0.2452107279693486
34,017,000400,2011,34017000400,Census Tract 4,"Hudson County, New Jersey",observed,90.0,10.84,67.0,8.07,9.0,1.08,34017000400,34017,57857.0,4083,1432,838,475,89,1171,21,23,9,25,842,347,84,26,250,11,124,0,216,255,64736.81868418,0.3507225079598334,0.2052412441831986,0.1163360274308106,0.0217976977712466,0.286798922361009,0.0051432770022042,0.005633112907176,0.0022042615723732,0.0061229488121479,0.4121140142517814,0.0997624703087886,0.0308788598574821,0.2969121140142517,0.013064133016627,0.1472684085510688,0.0,0.2565320665083135,0.3028503562945368
34,017,000400,2012,34017000400,Census Tract 4,"Hudson County, New Jersey",observed,107.0,12.89,68.0,8.19,17.0,2.05,34017000400,34017,72799.0,4127,1374,670,485,81,1408,23,20,10,56,833,288,114,30,262,11,128,0,173,243,79766.13365630001,0.3329294887327356,0.1623455294402714,0.1175187787739277,0.0196268475890477,0.3411679185849285,0.0055730554882481,0.0048461352071722,0.0024230676035861,0.0135691785800823,0.3457382953181273,0.1368547418967587,0.0360144057623049,0.3145258103241296,0.0132052821128451,0.1536614645858343,0.0,0.2076830732292917,0.2917166866746699
34,017,000400,2013,34017000400,Census Tract 4,"Hudson County, New Jersey",observed,89.0,10.72,67.0,8.07,13.0,1.57,34017000400,34017,72538.0,3806,1001,790,598,114,1222,26,0,0,55,873,317,128,34,271,13,110,0,224,203,78319.86108013999,0.2630057803468208,0.2075669994745139,0.1571203363110877,0.0299527062532842,0.3210719915922228,0.0068313189700472,0.0,0.0,0.0144508670520231,0.3631156930126002,0.1466208476517755,0.0389461626575028,0.3104238258877434,0.0148911798396334,0.1260022909507445,0.0,0.2565864833906071,0.2325315005727377
34,017,000400,2014,34017000400,Census Tract 4,"Hudson County, New Jersey",observed,78.0,9.4,60.0,7.23,19.0,2.29,34017000400,34017,61400.0,3743,929,654,298,122,1664,20,0,0,56,888,242,84,36,355,10,161,0,172,231,65190.12376,0.2481966337162703,0.1747261554902484,0.079615281859471,0.0325941757948169,0.4445631846112743,0.005343307507347,0.0,0.0,0.0149612610205717,0.2725225225225225,0.0945945945945946,0.0405405405405405,0.3997747747747748,0.0112612612612612,0.1813063063063063,0.0,0.1936936936936936,0.2601351351351351
34,017,000400,2015,34017000400,Census Tract 4,"Hudson County, New Jersey",observed,60.0,7.23,45.0,5.42,0.0,0.0,34017000400,34017,60223.0,3561,1063,858,236,160,1204,14,0,0,26,830,282,80,54,270,5,139,0,186,235,63830.51126865001,0.2985116540297669,0.2409435551811289,0.0662735186745296,0.044931199101376,0.3381072732378545,0.0039314799213704,0.0,0.0,0.0073013198539736,0.3397590361445783,0.0963855421686747,0.0650602409638554,0.3253012048192771,0.0060240963855421,0.1674698795180723,0.0,0.2240963855421686,0.2831325301204819
34,017,000400,2016,34017000400,Census Tract 4,"Hudson County, New Jersey",observed,43.0,6.57,33.0,5.05,0.0,0.0,34017000400,34017,50568.0,3760,1225,647,202,101,1457,0,0,80,48,792,240,72,15,266,0,172,27,144,268,52914.67580112001,0.3257978723404255,0.1720744680851063,0.0537234042553191,0.0268617021276595,0.3875,0.0,0.0,0.0212765957446808,0.0127659574468085,0.303030303030303,0.0909090909090909,0.0189393939393939,0.3358585858585858,0.0,0.2171717171717171,0.034090909090909,0.1818181818181818,0.3383838383838384
34,017,000400,2017,34017000400,Census Tract 4,"Hudson County, New Jersey",observed,49.0,7.49,37.0,5.66,0.0,0.0,34017000400,34017,38750.0,3754,1233,628,267,0,1508,0,23,74,21,788,190,53,0,293,0,227,25,133,284,39694.5982875,0.3284496537027171,0.1672882258923814,0.0711241342567927,0.0,0.4017048481619605,0.0,0.0061267980820458,0.0197123068726691,0.0055940330314331,0.2411167512690355,0.0672588832487309,0.0,0.3718274111675126,0.0,0.2880710659898477,0.031725888324873,0.1687817258883248,0.3604060913705584
34,017,000400,2018,34017000400,Census Tract 4,"Hudson County, New Jersey",observed,52.0,7.95,43.0,6.57,0.0,0.0,34017000400,34017,37917.0,3689,1167,698,276,0,1432,0,17,79,20,705,224,54,0,222,0,183,22,123,284,37917.0,0.316345893195988,0.189211168338303,0.074817023583627,0.0,0.3881810788831661,0.0,0.0046082949308755,0.0214150176199512,0.0054215234480889,0.3177304964539007,0.076595744680851,0.0,0.3148936170212766,0.0,0.2595744680851063,0.0312056737588652,0.1744680851063829,0.4028368794326241
34,017,000500,2009,34017000500,Census Tract 5,"Hudson County, New Jersey",observed,92.0,8.07,76.0,6.67,19.0,1.67,34017000500,34017,37316.0,4141,1560,1226,287,25,937,0,0,69,37,1140,703,99,0,243,0,71,24,365,409,43780.0025286,0.3767205988891572,0.2960637527167351,0.0693069306930693,0.0060371890847621,0.2262738468968848,0.0,0.0,0.0166626418739434,0.0089350398454479,0.6166666666666667,0.0868421052631579,0.0,0.2131578947368421,0.0,0.0622807017543859,0.0210526315789473,0.3201754385964912,0.3587719298245614
34,017,000500,2010,34017000500,Census Tract 5,"Hudson County, New Jersey",observed,92.0,8.81,76.0,7.28,20.0,1.92,34017000500,34017,48852.0,4080,1696,1228,291,0,791,0,0,61,13,1091,625,99,0,184,0,183,0,371,437,56384.11225404,0.4156862745098039,0.3009803921568627,0.0713235294117647,0.0,0.1938725490196078,0.0,0.0,0.0149509803921568,0.0031862745098039,0.5728689275893676,0.0907424381301558,0.0,0.1686526122823098,0.0,0.1677360219981668,0.0,0.3400549954170486,0.4005499541704858
